Station|Coordinates|Create_Timestamp|City|Conditions|Conditions_Description|Temperature|Min_Temperature|Max_Temperature|Pressure|Humidity|Wind_Speed|Wind_Degrees|Source_Date_Time|City_Id|Update_Timestamp|Record_Delete_Flag
LSY|-28.81,153.28|2017-12-10T17:43:25Z|Lismore|Clouds|overcast clouds|+21.81|+21.81|+21.81|1006.92|76|3.36|152.0|1512887378|2160063|1900-01-01T00:00:00Z|0
CNS|-16.92,145.77|2017-12-10T17:43:25Z|Cairns|Clouds|few clouds|+32.0|+32.0|+32.0|1010.0|55|10.8|120.0|1512885600|2172797|1900-01-01T00:00:00Z|0
ARM|-30.52,151.65|2017-12-10T17:43:25Z|Armidale|Clear|clear sky|+19.89|+19.89|+19.89|929.34|71|3.21|108.5|1512887374|2177671|1900-01-01T00:00:00Z|0
BXG|-36.77,144.28|2017-12-10T17:43:25Z|Bendigo|Clear|clear sky|+25.14|+25.14|+25.14|1013.89|61|3.21|221.5|1512887370|2176187|1900-01-01T00:00:00Z|0
CBR|-35.28,149.13|2017-12-10T17:43:25Z|Canberra|Clear|clear sky|+28.0|+28.0|+28.0|1019.0|34|5.7|340.0|1512885600|2172517|1900-01-01T00:00:00Z|0
ISA|-20.73,139.5|2017-12-10T17:43:25Z|Mount Isa|Clear|clear sky|+40.0|+40.0|+40.0|1009.0|11|3.1|320.0|1512885600|2065594|1900-01-01T00:00:00Z|0
ADL|-34.93,138.6|2017-12-10T17:43:25Z|Adelaide|Clouds|few clouds|+23.0|+23.0|+23.0|1021.0|56|4.6|210.0|1512883800|2078025|1900-01-01T00:00:00Z|0
TMW|-31.1,150.93|2017-12-10T17:43:25Z|Tamworth|Clear|clear sky|+31.0|+31.0|+31.0|1017.0|19|5.1|180.0|1512885600|2147497|1900-01-01T00:00:00Z|0
FOT|-32.17,152.52|2017-12-10T17:43:25Z|Forster|Clear|clear sky|+24.0|+24.0|+24.0|1020.0|57|5.1|110.0|1512885600|2166309|1900-01-01T00:00:00Z|0
OAG|-33.28,149.1|2017-12-10T17:43:25Z|Orange|Clear|clear sky|+26.39|+26.39|+26.39|969.63|51|1.61|119.0|1512887381|2154219|1900-01-01T00:00:00Z|0
GUL|-34.75,149.72|2017-12-10T17:43:25Z|Goulburn|Clouds|scattered clouds|+25.16|+25.16|+25.16|971.58|65|2.11|290.0|1512887180|2164837|1900-01-01T00:00:00Z|0
NOA|-34.88,150.6|2017-12-10T17:43:25Z|Nowra|Clouds|scattered clouds|+25.0|+25.0|+25.0|1018.0|53|6.7|90.0|1512882000|2154787|1900-01-01T00:00:00Z|0
RBU|-20.78,117.13|2017-12-10T17:43:25Z|Roebourne|Clear|clear sky|+36.31|+36.31|+36.31|1009.43|28|4.36|326.0|1512887383|2062276|1900-01-01T00:00:00Z|0
PQQ|-31.43,152.92|2017-12-10T17:43:25Z|Port Macquarie|Clear|clear sky|+24.0|+24.0|+24.0|1020.0|57|5.1|110.0|1512885600|2152659|1900-01-01T00:00:00Z|0
WOL|-34.43,150.88|2017-12-10T17:43:25Z|Wollongong|Clear|clear sky|+25.0|+25.0|+25.0|1019.0|44|9.8|70.0|1512883800|2171507|1900-01-01T00:00:00Z|0
ECH|-36.13,144.75|2017-12-10T17:43:25Z|Echuca|Clear|clear sky|+27.24|+27.24|+27.24|1022.24|46|3.56|226.5|1512887345|2167817|1900-01-01T00:00:00Z|0
ALH|-35.02,117.89|2017-12-10T17:43:25Z|Albany|Clear|clear sky|+36.21|+36.21|+36.21|1011.54|28|1.76|264.0|1512887380|2077963|1900-01-01T00:00:00Z|0
MQL|-34.2,142.15|2017-12-10T17:43:25Z|Mildura|Clear|clear sky|+26.39|+26.39|+26.39|1026.78|57|3.41|218.5|1512887376|2157698|1900-01-01T00:00:00Z|0
BDB|-24.85,152.35|2017-12-10T17:43:25Z|Bundaberg|Clear|clear sky|+25.79|+25.79|+25.79|1028.56|94|8.96|119.0|1512887385|2173323|1900-01-01T00:00:00Z|0
BNE|-27.47,153.03|2017-12-10T17:43:25Z|Brisbane|Rain|shower rain|+25.0|+25.0|+25.0|1016.0|61|6.7|110.0|1512885600|2174003|1900-01-01T00:00:00Z|0
SYD|-33.87,151.21|2017-12-10T17:43:25Z|Sydney|Clear|clear sky|+26.96|+25.0|+29.0|1018.0|45|5.7|80.0|1512885600|2147714|1900-01-01T00:00:00Z|0
GLT|-23.85,151.25|2017-12-10T17:43:25Z|Gladstone|Rain|light rain|+26.46|+26.46|+26.46|1013.89|76|6.56|100.5|1512887377|2165478|1900-01-01T00:00:00Z|0
BWT|-41.07,145.92|2017-12-10T17:43:25Z|Burnie|Clear|clear sky|+17.91|+17.91|+17.91|1030.42|92|8.31|266.5|1512887382|2173125|1900-01-01T00:00:00Z|0
PER|-31.93,115.83|2017-12-10T17:43:25Z|Perth|Clouds|few clouds|+36.32|+36.0|+37.0|1010.0|20|7.2|350.0|1512885600|2063523|1900-01-01T00:00:00Z|0
BUY|-33.33,115.63|2017-12-10T17:43:25Z|Bunbury|Clouds|few clouds|+35.36|+35.36|+35.36|1015.02|29|3.46|299.5|1512887368|2075432|1900-01-01T00:00:00Z|0
DBO|-32.25,148.62|2017-12-10T17:43:25Z|Dubbo|Clear|clear sky|+30.0|+30.0|+30.0|1017.0|25|4.6|130.0|1512885600|2168305|1900-01-01T00:00:00Z|0
BHS|-33.42,149.58|2017-12-10T17:43:25Z|Bathurst|Clouds|broken clouds|+22.51|+22.51|+22.51|939.88|63|1.31|252.5|1512887367|2176632|1900-01-01T00:00:00Z|0
HBA|-42.88,147.33|2017-12-10T17:43:25Z|Hobart|Clear|clear sky|+23.0|+23.0|+23.0|1014.0|33|6.7|270.0|1512885600|2163355|1900-01-01T00:00:00Z|0
GEX|-38.15,144.36|2017-12-10T17:43:25Z|Geelong|Clear|clear sky|+22.04|+21.0|+23.0|1021.0|64|6.7|170.0|1512885600|2165798|1900-01-01T00:00:00Z|0
DPO|-41.17,146.35|2017-12-10T17:43:25Z|Devonport|Clear|clear sky|+20.46|+20.46|+20.46|993.46|55|5.56|257.0|1512887371|2168943|1900-01-01T00:00:00Z|0
OOL|-28.0,153.43|2017-12-10T17:43:25Z|Gold Coast|Clouds|broken clouds|+25.0|+25.0|+25.0|1017.0|65|8.7|160.0|1512885600|2165087|1900-01-01T00:00:00Z|0
MGB|-37.83,140.77|2017-12-10T17:43:25Z|Mount Gambier|Clear|clear sky|+21.79|+21.79|+21.79|1028.32|62|2.66|226.0|1512887389|2156643|1900-01-01T00:00:00Z|0
ABX|-36.08,146.92|2017-12-10T17:43:25Z|Albury|Clear|clear sky|+30.0|+30.0|+30.0|1018.0|27|4.1|230.0|1512885600|2178174|1900-01-01T00:00:00Z|0
WYA|-33.03,137.58|2017-12-10T17:43:25Z|Whyalla|Clear|clear sky|+29.0|+29.0|+29.0|1019.0|23|5.7|120.0|1512885600|2058430|1900-01-01T00:00:00Z|0
ONG|-38.22,145.03|2017-12-10T17:43:25Z|Mornington|Clear|clear sky|+22.01|+21.0|+23.0|1021.0|64|6.7|170.0|1512885600|2156878|1900-01-01T00:00:00Z|0
