Station|Coordinates|Create_Timestamp|City|Conditions|Conditions_Description|Temperature|Min_Temperature|Max_Temperature|Pressure|Humidity|Wind_Speed|Wind_Degrees|Source_Date_Time|City_Id|Update_Timestamp|Record_Delete_Flag
GET|-28.77,114.6|2017-12-10T18:57:36Z|Geraldton|Clouds|scattered clouds|+33.0|+33.0|+33.0|1007.0|31|9.3|190.0|1512889200|2070998|1900-01-01T00:00:00Z|0
LST|-41.45,147.17|2017-12-10T19:35:44Z|Launceston|Clouds|few clouds|+21.0|+21.0|+21.0|1015.0|56|9.3|330.0|1512892800|2160517|1900-01-01T00:00:00Z|0
ASP|-23.7,133.88|2017-12-10T19:35:44Z|Alice Springs|Clear|clear sky|+34.0|+34.0|+34.0|1015.0|6|4.6|170.0|1512892800|2077895|1900-01-01T00:00:00Z|0
WGA|-35.12,147.37|2017-12-10T18:57:36Z|Wagga Wagga|Clear|clear sky|+30.0|+30.0|+30.0|1017.0|25|3.6|250.0|1512889200|2145110|1900-01-01T00:00:00Z|0
TWB|-27.55,151.97|2017-12-10T15:54:36Z|Toowoomba|Clouds|scattered clouds|+28.0|+28.0|+28.0|1017.0|37|3.1|120.0|1512878400|2146268|1900-01-01T00:00:00Z|0
TMW|-31.1,150.93|2017-12-10T18:57:36Z|Tamworth|Clear|clear sky|+30.0|+30.0|+30.0|1017.0|22|5.7|160.0|1512889200|2147497|1900-01-01T00:00:00Z|0
DBO|-32.25,148.62|2017-12-10T14:59:49Z|Dubbo|Clear|clear sky|+29.0|+29.0|+29.0|1019.0|21|2.1|350.0|1512874800|2168305|1900-01-01T00:00:00Z|0
CUD|-26.8,153.13|2017-12-10T15:54:36Z|Caloundra|Clouds|scattered clouds|+26.0|+26.0|+26.0|1017.0|61|7.2|110.0|1512878400|2172710|1900-01-01T00:00:00Z|0
DRW|-12.46,130.84|2017-12-11T00:48:03Z|Darwin|Clear|clear sky|+30.0|+30.0|+30.0|1010.0|74|4.6|340.0|1512912600|2073124|1900-01-01T00:00:00Z|0
BUY|-33.33,115.63|2017-12-10T18:57:36Z|Bunbury|Clouds|broken clouds|+33.16|+33.16|+33.16|1014.72|28|4.18|288.5|1512892378|2075432|1900-01-01T00:00:00Z|0
MQL|-34.2,142.15|2017-12-10T14:59:49Z|Mildura|Clear|clear sky|+25.3|+25.3|+25.3|1028.39|76|2.47|212.5|1512877836|2157698|1900-01-01T00:00:00Z|0
CBR|-35.28,149.13|2017-12-11T00:35:54Z|Canberra|Clear|clear sky|+18.0|+18.0|+18.0|1021.0|77|3.1|120.0|1512910800|2172517|1900-01-01T00:00:00Z|0
BDB|-24.85,152.35|2017-12-10T14:59:49Z|Bundaberg|Clear|clear sky|+25.93|+25.93|+25.93|1029.28|94|9.32|119.5|1512877846|2173323|1900-01-01T00:00:00Z|0
ABX|-36.08,146.92|2017-12-11T00:35:54Z|Albury|Clear|clear sky|+17.83|+17.0|+19.0|1018.0|63|1.07|256.5|1512910800|2178174|2017-12-11T00:48:03Z|1
ABX|-36.08,146.92|2017-12-11T00:48:03Z|Albury|Clear|clear sky|+17.82|+17.0|+19.0|1018.0|63|1.07|256.5|1512910800|2178174|1900-01-01T00:00:00Z|0
ALH|-35.02,117.89|2017-12-11T03:58:43Z|Albany|Clouds|overcast clouds|+19.33|+19.33|+19.33|1011.32|85|2.82|194.0|1512925097|2077963|1900-01-01T00:00:00Z|0
ADL|-34.93,138.6|2017-12-11T02:47:21Z|Adelaide|Clear|clear sky|+16.0|+16.0|+16.0|1020.0|72|1.5|20.0|1512918000|2078025|1900-01-01T00:00:00Z|0
TRO|-31.9,152.47|2017-12-11T01:54:21Z|Taree|Clear|clear sky|+15.0|+15.0|+15.0|1020.0|93|0.92|350.5|1512914400|2147381|1900-01-01T00:00:00Z|0
SYD|-33.87,151.21|2017-12-11T00:35:54Z|Sydney|Clear|clear sky|+19.9|+19.0|+21.0|1021.0|77|5.7|10.0|1512910800|2147714|2017-12-11T00:48:03Z|1
